,time,v(xtop.vdc_p),i(v.xtop.vvdc)
0,0.0,0.0,0.0
1,1.0000000000000002e-06,0.0,0.0
2,2.0000000000000003e-06,0.0,0.0
3,4.000000000000001e-06,0.0,0.0
4,8.000000000000001e-06,0.0,0.0
5,1.6000000000000003e-05,0.0,0.0
6,3.2000000000000005e-05,0.0,0.0
7,6.400000000000001e-05,0.0,0.0
8,0.00012800000000000002,0.0,0.0
9,0.000228,0.0,0.0
10,0.000328,0.0,0.0
11,0.000428,0.0,0.0
12,0.000528,0.0,0.0
13,0.0006280000000000001,0.0,0.0
14,0.0007280000000000001,0.0,0.0
15,0.0008280000000000002,0.0,0.0
16,0.0009280000000000002,0.0,0.0
17,0.001,0.0,0.0
18,0.00101,0.010000000000000026,0.0
19,0.00103,0.03000000000000008,0.0
20,0.0010700000000000002,0.07000000000000019,0.0
21,0.0011500000000000002,0.15000000000000016,0.0
22,0.0012500000000000002,0.2500000000000002,0.0
23,0.0013500000000000003,0.35000000000000026,0.0
24,0.0014500000000000003,0.4500000000000003,0.0
25,0.0015500000000000004,0.5500000000000004,0.0
26,0.0016500000000000004,0.6500000000000004,0.0
27,0.0017500000000000005,0.7500000000000004,0.0
28,0.0018500000000000005,0.8500000000000004,0.0
29,0.0019500000000000006,0.9500000000000005,0.0
30,0.002,1.0,0.0
31,0.00201,1.0,0.0
32,0.00203,1.0,0.0
33,0.0020700000000000002,1.0,0.0
34,0.0021500000000000004,1.0,0.0
35,0.0022500000000000003,1.0,0.0
36,0.00235,1.0,0.0
37,0.00245,1.0,0.0
38,0.0025499999999999997,1.0,0.0
39,0.0026499999999999996,1.0,0.0
40,0.0027499999999999994,1.0,0.0
41,0.0028499999999999992,1.0,0.0
42,0.002949999999999999,1.0,0.0
43,0.003049999999999999,1.0,0.0
44,0.0031499999999999987,1.0,0.0
45,0.0032499999999999985,1.0,0.0
46,0.0033499999999999984,1.0,0.0
47,0.003449999999999998,1.0,0.0
48,0.003549999999999998,1.0,0.0
49,0.003649999999999998,1.0,0.0
50,0.0037499999999999977,1.0,0.0
51,0.0038499999999999975,1.0,0.0
52,0.003949999999999998,1.0,0.0
53,0.004049999999999998,1.0,0.0
54,0.004149999999999998,1.0,0.0
55,0.004249999999999999,1.0,0.0
56,0.004349999999999999,1.0,0.0
57,0.004449999999999999,1.0,0.0
58,0.004549999999999999,1.0,0.0
59,0.00465,1.0,0.0
60,0.00475,1.0,0.0
61,0.00485,1.0,0.0
62,0.00495,1.0,0.0
63,0.005050000000000001,1.0,0.0
64,0.005150000000000001,1.0,0.0
65,0.005250000000000001,1.0,0.0
66,0.0053500000000000015,1.0,0.0
67,0.005450000000000002,1.0,0.0
68,0.005550000000000002,1.0,0.0
69,0.005650000000000002,1.0,0.0
70,0.0057500000000000025,1.0,0.0
